City,Rank,State,Growth From 2000 to 2013,Population,Coordinates
San Clemente,537,California,28.6,65040,33.4269728
Bayonne,538,New Jersey,5.1,65028,40.6687141
Laguna Niguel,539,California,2.8,64652,33.5225261
East Orange,540,New Jersey,-7.4,64544,40.767323
Shawnee,541,Kansas,32.2,64323,39.0228485
Homestead,542,Florida,100.7,64079,25.4687224
Delray Beach,543,Florida,6.1,64072,26.4614625
Rockville,544,Maryland,34,64072,39.0839973
Janesville,545,Wisconsin,5.6,63820,42.6827885
Conway,546,Arkansas,46.1,63816,35.0886963
Pico Rivera,547,California,0.4,63771,33.9830688
Lorain,548,Ohio,-7.2,63710,41.452819
Montebello,549,California,2,63495,34.0165053
Lodi,550,California,10.1,63338,38.1341477
New Braunfels,551,Texas,64,63279,29.7030024
Marysville,552,Washington,115.7,63269,48.0517637
Tamarac,553,Florida,12.9,63155,26.2128609
Madera,554,California,44.4,63105,36.9613356
Conroe,555,Texas,61.9,63032,30.3118769
Santa Cruz,556,California,12.5,62864,36.9741171
Eden Prairie,557,Minnesota,13.3,62603,44.8546856
Cheyenne,558,Wyoming,16.9,62448,41.1399814
Daytona Beach,559,Florida,-2.3,62316,29.2108147
Alpharetta,560,Georgia,33.6,62298,34.0753762
Hamilton,561,Ohio,2.7,62258,39.3995008
Waltham,562,Massachusetts,5,62227,42.3764852
Coon Rapids,563,Minnesota,0.6,62103,45.1732394
Haverhill,564,Massachusetts,5,62088,42.7762015
Council Bluffs,565,Iowa,6.2,61969,41.2619444
Taylor,566,Michigan,-6.3,61817,42.240872
Utica,567,New York,2.2,61808,43.100903
Ames,568,Iowa,21.3,61792,42.034722
La Habra,569,California,3.6,61653,33.9319578
Encinitas,570,California,5.8,61588,33.0369867
Bowling Green,571,Kentucky,24.1,61488,36.9685219
Burnsville,572,Minnesota,1.9,61434,44.7677424
Greenville,573,South Carolina,8.2,61397,34.8526176
West Des Moines,574,Iowa,29.8,61255,41.5772115
Cedar Park,575,Texas,134.3,61238,30.505198
Tulare,576,California,33.3,61170,36.2077288
Monterey Park,577,California,1.5,61085,34.0625106
Vineland,578,New Jersey,9.3,61050,39.4863773
Terre Haute,579,Indiana,2.5,61025,39.4667034
North Miami,580,Florida,2,61007,25.8900949
Mansfield,581,Texas,114.2,60872,32.5631924
West Allis,582,Wisconsin,-0.6,60697,43.0166806
Bristol,583,Connecticut,0.4,60568,41.6717648
Taylorsville,584,Utah,2.9,60519,40.6677248
Malden,585,Massachusetts,7.4,60509,42.4250964
Meriden,586,Connecticut,3.7,60456,41.5381535
Blaine,587,Minnesota,32.8,60407,45.1607987
Wellington,588,Florida,55,60202,26.6617635
Cupertino,589,California,14.3,60189,37.3229978
Springfield,590,Oregon,12.4,60177,44.0462362
Rogers,591,Arkansas,50.6,60112,36.3320196
St. Clair Shores,592,Michigan,-4.6,60070,42.4974085
Gardena,593,California,3.4,59957,33.8883487
Pontiac,594,Michigan,-11.4,59887,42.6389216
National City,595,California,10.1,59834,32.6781085
Grand Junction,596,Colorado,30.9,59778,39.0638705
Rocklin,597,California,60.3,59738,38.7907339
Chapel Hill,598,North Carolina,24.1,59635,35.9131996
Casper,599,Wyoming,19.9,59628,42.866632
Broomfield,600,Colorado,50.3,59471,39.9205411
Petaluma,601,California,8.4,59440,38.232417
South Jordan,602,Utah,100.1,59366,40.5621704
Springfield,603,Ohio,-9.8,59357,39.9242266
Great Falls,604,Montana,3.9,59351,47.4941836
Lancaster,605,Pennsylvania,4.5,59325,40.0378755
North Port,606,Florida,154.6,59212,27.044224
Lakewood,607,Washington,1.1,59097,47.1717649
Marietta,608,Georgia,-3.8,59089,33.952602
San Rafael,609,California,5,58994,37.9735346
Royal Oak,610,Michigan,-1.7,58946,42.4894801
Des Plaines,611,Illinois,3.2,58918,42.0333623
Huntington Park,612,California,-4.1,58879,33.9816812
La Mesa,613,California,6.9,58642,32.7678287
Orland Park,614,Illinois,13.9,58590,41.6303103
Auburn,615,Alabama,26.4,58582,32.6098566
Lakeville,616,Minnesota,34.3,58562,44.6496868
Owensboro,617,Kentucky,7.7,58416,37.7719074
Moore,618,Oklahoma,41.5,58414,35.3395079
Jupiter,619,Florida,46.2,58298,26.9342246
Idaho Falls,620,Idaho,14,58292,43.4916514
Dubuque,621,Iowa,0.9,58253,42.5005583
Bartlett,622,Tennessee,31.7,58226,35.2045328
Rowlett,623,Texas,28.6,58043,32.9029017
Novi,624,Michigan,22,57960,42.48059
White Plains,625,New York,8.5,57866,41.0339862
Arcadia,626,California,8.3,57639,34.1397292
Redmond,627,Washington,26,57530,47.6739881
Lake Elsinore,628,California,96.5,57525,33.6680772
Ocala,629,Florida,20.8,57468,29.1871986
Tinley Park,630,Illinois,16.3,57282,41.5731442
Port Orange,631,Florida,22.8,57203,29.1383165
Medford,632,Massachusetts,2.7,57170,42.4184296
Oak Lawn,633,Illinois,3.3,57073,41.719978
Rocky Mount,634,North Carolina,-3.1,56954,35.9382103
Kokomo,635,Indiana,21.3,56895,40.486427
Coconut Creek,636,Florida,28.4,56792,26.2517482
Bowie,637,Maryland,8.6,56759,39.0067768
Berwyn,638,Illinois,5.1,56758,41.8505874
Midwest City,639,Oklahoma,4.5,56756,35.4495065
Fountain Valley,640,California,3,56707,33.7091847
Buckeye,641,Arizona,480.9,56683,33.3703197
Dearborn Heights,642,Michigan,-3,56620,42.3369816
Woodland,643,California,13.8,56590,38.6785157
Noblesville,644,Indiana,88.1,56540,40.0455917
Valdosta,645,Georgia,22.3,56481,30.8327022
Diamond Bar,646,California,0.1,56449,34.0286226
Manhattan,647,Kansas,22.8,56143,39.1836082
Santee,648,California,5.7,56105,32.8383828
Taunton,649,Massachusetts,0,56069,41.900101
Sanford,650,Florida,42.8,56002,28.8028612
Kettering,651,Ohio,-3.1,55870,39.6895036
New Brunswick,652,New Jersey,15.5,55831,40.4862157
Decatur,653,Alabama,3.1,55816,34.6059253
Chicopee,654,Massachusetts,1.7,55717,42.1487043
Anderson,655,Indiana,-6.6,55670,40.1053196
Margate,656,Florida,2.7,55456,26.2445263
Weymouth Town,657,Massachusetts,,55419,42.2180724
Hempstead,658,New York,4,55361,40.7062128
Corvallis,659,Oregon,11.8,55298,44.5645659
Eastvale,660,California,,55191,33.952463
Porterville,661,California,20.1,55174,36.06523
West Haven,662,Connecticut,5.1,55046,41.2705484
Brentwood,663,California,122.3,55000,37.931868
Paramount,664,California,-0.7,54980,33.8894598
Grand Forks,665,North Dakota,11.5,54932,47.9252568
Georgetown,666,Texas,91.9,54898,30.6332618
St. Peters,667,Missouri,6.5,54842,38.7874699
Shoreline,668,Washington,2.9,54790,47.7556531
Mount Prospect,669,Illinois,-2.5,54771,42.0664167
Hanford,670,California,30.3,54686,36.3274502
Normal,671,Illinois,19.7,54664,40.5142026
Rosemead,672,California,1.7,54561,34.0805651
Lehi,673,Utah,176.3,54382,40.3916172
Pocatello,674,Idaho,5.4,54350,42.8713032
Highland,675,California,21,54291,34.1283442
Novato,676,California,13.3,54194,38.1074198
Port Arthur,677,Texas,-6,54135,29.8849504
Carson City,678,Nevada,2.9,54080,39.1637984
San Marcos,679,Texas,48.5,54076,29.8832749
Hendersonville,680,Tennessee,31.7,54068,36.3047735
Elyria,681,Ohio,-3.7,53956,41.3683798
Revere,682,Massachusetts,13.4,53756,42.4084302
Pflugerville,683,Texas,123.4,53752,30.4393696
Greenwood,684,Indiana,46,53665,39.6136578
Bellevue,685,Nebraska,20.5,53663,41.1543623
Wheaton,686,Illinois,-3.4,53648,41.8661403
Smyrna,687,Georgia,20,53438,33.8839926
Sarasota,688,Florida,1.4,53326,27.3364347
Blue Springs,689,Missouri,9.9,53294,39.0169509
Colton,690,California,10.8,53243,34.0739016
Euless,691,Texas,15.1,53224,32.8370727
Castle Rock,692,Colorado,153.5,53063,39.3722121
Cathedral City,693,California,23.2,52977,33.7805388
Kingsport,694,Tennessee,16.7,52962,36.548434
Lake Havasu City,695,Arizona,24.6,52844,34.483901
Pensacola,696,Florida,-6,52703,30.421309
Hoboken,697,New Jersey,35.8,52575,40.7439905
Yucaipa,698,California,26.8,52536,34.033625
Watsonville,699,California,12.7,52477,36.910231
Richland,700,Washington,34.6,52413,46.2856907
Delano,701,California,31.8,52403,35.7688425
Hoffman Estates,702,Illinois,5.4,52398,42.0629915
Florissant,703,Missouri,-2.8,52363,38.789217
Placentia,704,California,11.8,52206,33.8722371
West New York,705,New Jersey,13.3,52122,40.7878788
Dublin,706,California,70,52105,37.7021521
Oak Park,707,Illinois,-0.8,52066,41.8850317
Peabody,708,Massachusetts,7.5,52044,42.5278731
Perth Amboy,709,New Jersey,9.7,51982,40.5067723
Battle Creek,710,Michigan,-2.8,51848,42.3211522
Bradenton,711,Florida,3.4,51763,27.4989278
Gilroy,712,California,23.9,51701,37.0057816
